resource_id,owner,env,tags_json
res-822fe7a8,Brian Torres,dev,"[{""app"": ""top"", ""team"": ""very""}, {""app"": ""before"", ""team"": ""sit""}, {""app"": ""loss"", ""team"": ""employee""}, {""app"": ""son"", ""team"": ""rather""}, {""app"": ""direction"", ""team"": ""inside""}, {""app"": ""radio"", ""team"": ""interesting""}, {""app"": ""issue"", ""team"": ""single""}, {""app"": ""through"", ""team"": ""level""}, {""app"": ""my"", ""team"": ""send""}, {""app"": ""trade"", ""team"": ""serious""}]"
res-c7547c7e,Patricia Anderson,test,"[{""app"": ""realize"", ""team"": ""center""}, {""app"": ""many"", ""team"": ""office""}, {""app"": ""leader"", ""team"": ""choice""}, {""app"": ""opportunity"", ""team"": ""outside""}, {""app"": ""poor"", ""team"": ""work""}, {""app"": ""long"", ""team"": ""sit""}, {""app"": ""else"", ""team"": ""girl""}, {""app"": ""brother"", ""team"": ""result""}, {""app"": ""whatever"", ""team"": ""arm""}, {""app"": ""your"", ""team"": ""wrong""}]"
res-993fe144,Grace Rivera,dev,"[{""app"": ""visit"", ""team"": ""especially""}, {""app"": ""serve"", ""team"": ""position""}, {""app"": ""mother"", ""team"": ""attorney""}, {""app"": ""result"", ""team"": ""executive""}, {""app"": ""each"", ""team"": ""hair""}, {""app"": ""model"", ""team"": ""social""}, {""app"": ""sister"", ""team"": ""sea""}, {""app"": ""building"", ""team"": ""fill""}, {""app"": ""benefit"", ""team"": ""single""}, {""app"": ""include"", ""team"": ""risk""}]"
res-5a44b5fa,Vanessa Taylor,test,"[{""app"": ""knowledge"", ""team"": ""travel""}, {""app"": ""close"", ""team"": ""floor""}, {""app"": ""ground"", ""team"": ""guess""}, {""app"": ""whether"", ""team"": ""age""}, {""app"": ""but"", ""team"": ""yard""}, {""app"": ""word"", ""team"": ""of""}, {""app"": ""open"", ""team"": ""former""}, {""app"": ""someone"", ""team"": ""itself""}, {""app"": ""finally"", ""team"": ""woman""}, {""app"": ""event"", ""team"": ""actually""}]"
res-e49fa8b5,Charles Summers,test,"[{""app"": ""someone"", ""team"": ""us""}, {""app"": ""democratic"", ""team"": ""argue""}, {""app"": ""blue"", ""team"": ""indicate""}, {""app"": ""really"", ""team"": ""include""}, {""app"": ""open"", ""team"": ""sell""}, {""app"": ""response"", ""team"": ""think""}, {""app"": ""social"", ""team"": ""happen""}, {""app"": ""instead"", ""team"": ""history""}, {""app"": ""tough"", ""team"": ""child""}, {""app"": ""realize"", ""team"": ""focus""}]"
res-5caaee88,Seth Yang,staging,"[{""app"": ""leave"", ""team"": ""exist""}, {""app"": ""prepare"", ""team"": ""policy""}, {""app"": ""usually"", ""team"": ""wind""}, {""app"": ""new"", ""team"": ""natural""}, {""app"": ""table"", ""team"": ""gas""}, {""app"": ""mouth"", ""team"": ""debate""}, {""app"": ""current"", ""team"": ""purpose""}, {""app"": ""model"", ""team"": ""raise""}, {""app"": ""hit"", ""team"": ""in""}, {""app"": ""opportunity"", ""team"": ""rest""}]"
res-0559466b,Michael Wilson,prod,"[{""app"": ""big"", ""team"": ""visit""}, {""app"": ""four"", ""team"": ""according""}, {""app"": ""card"", ""team"": ""structure""}, {""app"": ""attack"", ""team"": ""see""}, {""app"": ""college"", ""team"": ""down""}, {""app"": ""near"", ""team"": ""campaign""}, {""app"": ""college"", ""team"": ""worry""}, {""app"": ""small"", ""team"": ""soldier""}, {""app"": ""water"", ""team"": ""alone""}, {""app"": ""need"", ""team"": ""almost""}]"
res-f3e99a75,Katelyn Ferguson,dev,"[{""app"": ""he"", ""team"": ""those""}, {""app"": ""parent"", ""team"": ""world""}, {""app"": ""girl"", ""team"": ""head""}, {""app"": ""executive"", ""team"": ""she""}, {""app"": ""fear"", ""team"": ""her""}, {""app"": ""decide"", ""team"": ""test""}, {""app"": ""work"", ""team"": ""network""}, {""app"": ""exactly"", ""team"": ""this""}, {""app"": ""simply"", ""team"": ""market""}, {""app"": ""remember"", ""team"": ""church""}]"
res-0dc7af62,Andres Brooks,dev,"[{""app"": ""start"", ""team"": ""day""}, {""app"": ""personal"", ""team"": ""reality""}, {""app"": ""account"", ""team"": ""and""}, {""app"": ""Republican"", ""team"": ""someone""}, {""app"": ""provide"", ""team"": ""opportunity""}, {""app"": ""food"", ""team"": ""usually""}, {""app"": ""himself"", ""team"": ""green""}, {""app"": ""ahead"", ""team"": ""fill""}, {""app"": ""for"", ""team"": ""each""}, {""app"": ""leader"", ""team"": ""join""}]"
res-ec53e445,Colton Weber,test,"[{""app"": ""member"", ""team"": ""change""}, {""app"": ""involve"", ""team"": ""line""}, {""app"": ""young"", ""team"": ""try""}, {""app"": ""put"", ""team"": ""could""}, {""app"": ""thought"", ""team"": ""price""}, {""app"": ""local"", ""team"": ""sort""}, {""app"": ""you"", ""team"": ""money""}, {""app"": ""thousand"", ""team"": ""they""}, {""app"": ""send"", ""team"": ""no""}, {""app"": ""growth"", ""team"": ""whole""}]"
